main,overlays,overlay_visible,players,decoding,hidden,uploads,hidden_uploads,cpu_ms,working_set_mb
1,0,False,1,1,0,21,0,172,178.1
1,0,True,1,1,0,21,0,281,187.1
1,2,False,5,5,4,21,0,438,275.3
1,2,True,5,5,2,64,0,172,280.5
1,16,False,33,33,32,21,0,1031,859.0
1,16,True,33,33,16,357,0,1266,918.3
9,0,False,9,9,0,190,0,516,436.9
9,0,True,9,9,0,196,0,312,448.4
9,2,False,13,13,4,189,0,453,551.2
9,2,True,13,13,2,230,0,984,588.2
9,16,False,41,41,32,189,0,1266,1147.4
9,16,True,41,41,16,532,0,2156,1202.4
16,0,False,16,16,0,335,0,266,736.2
16,0,True,16,16,0,335,0,375,779.2
16,2,False,20,20,4,332,0,578,888.9
16,2,True,20,20,2,382,0,531,936.8
16,16,False,48,48,32,335,0,2656,1507.6
16,16,True,48,48,16,672,0,2984,1571.4
