main,overlays,overlay_visible,views,players,advancing_views,hidden,uploads,hidden_uploads,cpu_ms,working_set_mb
1,0,False,1,1,1,0,22,0,188,179.6
1,0,True,1,1,1,0,21,0,203,187.9
1,2,False,5,3,5,4,21,0,422,236.4
1,2,True,5,3,5,2,63,0,203,241.5
1,16,False,33,17,33,32,21,0,578,521.5
1,16,True,33,17,33,16,360,0,688,560.3
9,0,False,9,9,9,0,195,0,141,427.1
9,0,True,9,9,9,0,194,0,234,444.9
9,2,False,13,11,13,4,194,0,219,504.8
9,2,True,13,11,13,2,237,0,406,514.9
9,16,False,41,25,41,32,188,0,875,797.1
9,16,True,41,25,41,16,534,0,656,842.4
16,0,False,16,16,16,0,336,0,531,705.7
16,0,True,16,16,16,0,334,0,469,737.2
16,2,False,20,18,20,4,341,0,719,801.7
16,2,True,20,18,20,2,365,0,1078,827.6
16,16,False,48,32,48,32,340,0,1203,1117.8
16,16,True,48,32,48,16,684,0,1656,1178.6
